Weintyp,Charakter,Geschmack,Land,Preis,Name
Weisswein,mittelschwer,fruchtig,Italien,13.95,Sardegna doc Vermentino Costamolino Argiolas
Weisswein,leicht,fruchtig,Italien,20,Cormòns Pinot Grigio Venezia Giulia IGT
Weisswein,leicht,fruchtig,Italien,11.5,Toscana IGT Bianco Villa Antinori
Roséwein,leicht,fruchtig,Italien,4.95,Lambrusco di Modena Rosato Frizzante IGT
Roséwein,leicht,fruchtig,Italien,16.95,Irpina DOC Rosato Visione Feudi di San Gregorio
Roséwein,mittelschwer,fruchtig,Italien,8.95,Primitivo del Salento Rosato IGP Vecchia Torre
Roséwein,mittelschwer,fruchtig,Frankreich,22.95,Rosé Cotes Provence Miraval
Roséwein,leicht,fruchtig,Frankreich,16.95,Côtes de Provence AOP Rosé M Minuty
Roséwein,mittelschwer,frisch,Frankreich,6.5,Val d'Azur Rosé Méditerranée IGP
Roséwein,mittelschwer,fruchtig,Frankreich,5.95,Rosé Vin de Pays Méditerranée igp Domaine de L'Isle St Pierre
Roséwein,mittelschwer,frisch,Schweiz,17.9,Schaffhausen AOC Schiller Florin Weine
Roséwein,mittelschwer,fruchtig,Schweiz,18.95,Valais AOC Rosé mi-doux la Porte de Novembre
Roséwein,mittelschwer,kräftig/strukturiert,Schweiz,17.95,Neuchâtel AOC Oeil de Perdrix Château d'Auvernier
Roséwein,leicht,fruchtig,Schweiz,1.95,Valais AOC Oeil de Perdrix Rosé Alia
Roséwein,leicht,weich,Spanien,14.95,Ribera del Duero do Rosé Flamingo San Cristobal
Roséwein,mittelschwer,fruchtig,Spanien,10.95,Rioja DOCa Rosado Marqués de Riscal
Roséwein,mittelschwer,frisch,Spanien,6.95,Gran Feudo Rosado Navarra DO
Roséwein,leicht,frisch,Spanien,2.95,Rubi Rosa Utiel DO
Roséwein,leicht,fruchtig,Schweiz,7.50,Zürich AOC Rosé Zürcher Weinländer
